Province,District,Sector,Identifier,pop2012,pop2022,pop2022_urbM,pop2022_urbF,pop2022_rurM,pop2022_rurF,sector_household_size,nDwellings_urb,nDwellings_rur,Wood with mud,Sun dried bricks,All non durable wall materials,Cement blocks,Concrete,Stone,Timber,Burnt bricks,Roof Iron Sheets,Roof Tiles,Roof Concrete,Roof Grass
Northern Province,Gakenke,Janja,GakenkeJanja,"15,804","16,007",,,"7,423","8,584",4.044196088,0,3958.017774,1.506012024,96.98717435,0,0.100400802,0,0.200801603,0,1.405611222,71.34254254,28.75745746,0,0
Northern Province,Gakenke,Kamubuga,GakenkeKamubuga,"20,758","23,336",,,"10,950","12,386",4.097997893,0,5694.488043,2.819738167,95.26686808,0,0,0,0.604229607,0,1.309164149,49.44944945,50.55055055,0,0
Northern Province,Gakenke,Karambo,GakenkeKarambo,"12,159","13,617",,,"6,318","7,299",3.759525124,0,3622,2.22669363,96.25389282,0,0,0,0.404853387,0,1.214560162,83.4,16.6,0,0
Northern Province,Gakenke,Kivuruga,GakenkeKivuruga,"18,226","19,967",,,"9,333","10,634",4.123321628,0,4842.455138,2.43902439,93.29268293,0,0,0,1.117886179,0,3.150406504,43,56.8,0,0
Northern Province,Gakenke,Mataba,GakenkeMataba,"14,346","15,520",,,"7,397","8,123",3.799020808,0,4085.263226,3.826814516,94.05907258,0,0,0,0.302116936,0,1.711995968,74.92477432,25.07522568,0,0
Northern Province,Gakenke,Minazi,GakenkeMinazi,"13,527","14,193",,,"6,729","7,464",3.92033195,0,3620.356689,3.003003003,91.59159159,0,0,0,0.4004004,0.1001001,4.904904905,61.2,38.8,0,0
Northern Province,Gakenke,Mugunga,GakenkeMugunga,"19,361","19,963",,,"9,450","10,513",3.830326296,0,5211.827521,1.424211597,95.62563581,0,0,0,1.119023398,0,1.831129196,71.8,28,0,0
Northern Province,Gakenke,Muhondo,GakenkeMuhondo,"20,125","21,334",,,"10,296","11,038",3.82078853,0,5583.664165,3.707407407,85.87157157,0,0.1002002,0,1.102202202,0,9.318618619,60.4,39.6,0,0
Northern Province,Gakenke,Muyongwe,GakenkeMuyongwe,"15,550","16,053",,,"7,461","8,592",3.828878282,0,4192.611731,2.012072435,97.28370221,0,0,0,0,0,0.704225352,41,59,0,0
Northern Province,Gakenke,Muzo,GakenkeMuzo,"21,378","21,816",,,"10,099","11,717",3.937511288,0,5540.555545,3.7111334,95.18555667,0.100300903,0,0,0.401203611,0,0.601805416,76.77677678,23.22322322,0,0
Northern Province,Gakenke,Nemba,GakenkeNemba,"15,643","16,854","1,206","1,382","6,645","7,621",3.856357388,671.0996257,3699.345928,0.907250755,93.54763343,0,0,0,0.403222558,0,5.241893253,59.7,40.2,0,0
Northern Province,Gakenke,Ruli,GakenkeRuli,"18,516","22,464","3,688","3,915","7,274","7,587",3.588705807,2118.591049,4141.047163,2.114803625,70.59415911,0,0,0,1.208459215,0,26.08257805,80,20,0,0
Northern Province,Gakenke,Rusasa,GakenkeRusasa,"18,250","19,242",,,"9,124","10,118",4.060363022,0,4738.985134,9.466197183,90.23098592,0.100704225,0,0,0.100704225,0,0.201408451,76.4,23.6,0,0
Northern Province,Gakenke,Rushashi,GakenkeRushashi,"17,806","18,835",,,"8,974","9,861",3.800651598,0,4955.729172,3.12815338,93.54187689,0,0.100908174,0,0.201816347,0,3.027245207,51.8,48.2,0,0
City of Kigali,Gasabo,Bumbogo,GasaboBumbogo,"35,381","112,899","48,568","48,568","7,793","7,970",3.652757996,26592.50903,4315.369378,8.987900724,85.54002068,0.206618407,1.033092037,0.103309204,0.413236815,0,3.61582213,98.9,1,0,0
City of Kigali,Gasabo,Gatsata,GasaboGatsata,"37,110","46,262","24,146","22,116",,,3.254208636,14216.05225,0,16.92358393,78.01359423,0.103192585,0.82554068,0.103192585,1.23831102,0.103192585,2.889392379,99.7,0.2,0,0
City of Kigali,Gasabo,Gikomero,GasaboGikomero,"16,625","19,630",,,"9,567","10,063",4.090567613,0,4798.845016,83.16532258,12.2983871,0,0,0,0,0,4.536290323,99.3,0.3,0.4,0
City of Kigali,Gasabo,Gisozi,GasaboGisozi,"44,003","75,611","38,995","36,616",,,3.296606839,22936.00775,0,4.594331551,82.80481283,0,3.953262032,0.427379679,1.388983957,0,6.731229947,99,0.8,0.1,0
City of Kigali,Gasabo,Jabana,GasaboJabana,"33,577","63,862","20,487","20,800","11,113","11,462",3.832380723,10773.19895,5890.594289,30.60165975,60.06224066,0,2.800829876,0,0.518672199,0,6.01659751,99.7,0.3,0,0
City of Kigali,Gasabo,Jali,GasaboJali,"25,057","41,156","10,770","10,776","9,509","10,101",3.797636632,5673.528588,5163.737845,50.70355603,44.24450431,0,0.968857759,0,0.430603448,0,3.552478448,99.9,0.1,0,0
City of Kigali,Gasabo,Kacyiru,GasaboKacyiru,"37,088","30,036","15,994","14,042",,,3.223816999,9316.906017,0,5.18134715,73.16062176,0,2.797927461,0.518134715,3.316062176,0.207253886,14.81865285,98.5,1.2,0.2,0.1
City of Kigali,Gasabo,Kimihurura,GasaboKimihurura,"21,672","16,425","8,599","7,826",,,3.053624813,5378.853332,0,3.423236515,78.1120332,0,2.593360996,0.726141079,1.244813278,0.10373444,13.7966805,97.6,1.6,0.6,0.1
City of Kigali,Gasabo,Kimironko,GasaboKimironko,"57,430","61,733","31,721","30,012",,,3.456563707,17859.64479,0,1.578947368,59.47368421,0.105263158,10.73684211,1.263157895,2.631578947,0.105263158,24.10526316,96.4,3.1,0.3,0.1
City of Kigali,Gasabo,Kinyinya,GasaboKinyinya,"57,846","125,400","63,081","62,319",,,3.415788036,36711.87986,0,3.085501066,88.41556503,0,2.979104478,0.851172708,0.957569296,0.106396589,3.404690832,97.3,1.6,1.1,0.1
City of Kigali,Gasabo,Ndera,GasaboNdera,"41,764","95,164","41,036","40,017","7,022","7,089",3.346708619,24218.72031,4216.381408,9.538436831,83.70246253,0,1.393254818,0.321520343,0.42869379,0.107173448,4.608458244,99.5,0.4,0,0
